"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ ВИТ"""=141206, Московская обл, ул Чехова, 12, офис 901=108966.0=[21552.0, 34691.0, 39302.0, 33121.0, 77707.0]=[-207, -779, -145, -2]=[-20913.0, 19518.0, 3080.0, -8543.0, -20438.0]
"Общество с ограниченной ответственностью ""ЛАВИНА"""=140015, Московская обл, город Люберцы, Инициативная ул, дом № 10=594302.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-81, -89, -88, -95]=[454.0, 2339.0, 3984.0, 3836.0, 9534.0]
"Акционерное общество ""ДАМАЛА"""=129090, Москва г, ул Гиляровского, д. 4, к. 5, кв. 113=67046.0=[18916.0, -9122.0, 10359.0, 'nan', 13584.0]=[-97, -356, -275, -219]=[-2680.0, -1358.0, 1045.0, 1531.0, 2253.0]
"Акционерное общество ""ДЖИТЕХ"""=г. Москва, ул. Пудовкина, д. 13, пом. VIII, 119285=69055.0=[47803.0, 'nan', 6219.0, 'nan', 3407.0]=[-31, 209, 4150, 128]=[5185.0, 7537.0, 1679.0, 122.0, -18358.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИАПАЗОН"""=191124, Санкт-Петербург г, наб Синопская, 64А, 18-Н, 10=226298.0=[15792.0, 'nan', 34432.0, 'nan', 'nan']=[-85, -93, 9938, -51]=[803.0, 5403.0, 12025.0, 8.0, 1629.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИРЕКЦИЯ ОБЪЕКТОВ РЕКОНСТРУКЦИИ И СТРОИТЕЛЬСТВА"""=443010, Самарская обл, Самара г, Чапаевская ул, дом № 174=312052.0=[48827.0, 99169.0, 61994.0, 71106.0, 95530.0]=[-40, -78, -87, -92]=[2294.0, 3844.0, 10667.0, 17563.0, 27554.0]
"АО ""ДУКС"""=141704, Московская обл, Долгопрудный г, ул. Набережная, д.23,к.1, НП 6=1353.0=[-46015.0, -36975.0, -45709.0, 'nan', -166832.0]=[234, 80, 209, 405]=[101402.0, 30347.0, 56477.0, -92740.0, -33273.0]
"Акционерное общество ""ДОМОСТРОИТЕЛЬНАЯ КОМПАНИЯ""-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК"""=308014, Белгородская обл, г.Белгород, ул.Чехова, д.2а, корп.офис, 109=222337.0=['nan', 'nan', 'nan', 'nan', 'nan']=[873, 127, 120, 162]=[14058.0, 1445.0, 6192.0, 6387.0, 5357.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ № 1"""=123007, Москва г, проезд Хорошёвский 3-й, 3, Эт 1 Пом I Ком 51=174384.0=[503121.0, 544572.0, 476462.0, 1495596.0, -1320719.0]=[59, -87, -49, 95]=[-197226.0, -484114.0, -105228.0, -132460.0, -4097324.0]
"Акционерное Общество ""Домостроительный комбинат №2"""=603047, Нижегородская обл, Нижний Новгород г, Героя Рябцева ул, дом 1В, корпус 21=88392.0=['nan', 'nan', 'nan', 'nan', 'nan']=[15, -36, -44, -68]=[180.0, 157.0, 283.0, 319.0, 557.0]
"Акционерное общество ""ДОРОЖНЫЙ ЦЕНТР ВНЕДРЕНИЯ"""=410019, Саратовская область, г.о. Город Саратов, г Саратов, ул Зеленая, здание 107, офис 26=225684.0=['nan', 'nan', 'nan', 'nan', 3393.0]=[7, 364, 562, 375]=[1628.0, 1526.0, 351.0, 246.0, -592.0]
"Акционерное общество ""ДСК"""=660049, Красноярский край, Красноярск г, Мира пр-кт, дом № 18=37878.0=['nan', 'nan', 'nan', 'nan', 'nan']=[92, 91, 98, 93]=[-1874.0, -24430.0, -21870.0, -120818.0, -28202.0]
"Акционерное Общество""ДСУ-1"""=125284, Москва г, вн.тер.г. муниципальный округ Хорошевский, ш Хорошёвское, д. 16, стр. 3=1192868.0=[683222.0, 1019885.0, 1109306.0, 203128.0, 'nan']=[-67, -74, 290, 1570]=[162439.0, 487941.0, 631217.0, 41607.0, 9729.0]
Акционерное общество ДСУ-3=181350, Псковская область, Остров, Карла Маркса, д. 9=8923.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-974, -611, -21, -150]=[-7006.0, 802.0, 1372.0, -5794.0, -2805.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕКБ-ОТДЕЛСТРОЙ"""=620144, Свердловская обл, г Екатеринбург, ул Сурикова, 53, 102=1214657.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-37, -54, 489250, 111]=[9787.0, 15417.0, 21402.0, 2.0, 4641.0]
"Акционерное общество ""Жиздринская ПМК"""=249340,Область Калужская, ,Город Жиздра, ,Улица Фокина,49=18633.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-9, 220, 581, -10]=[1518.0, 1675.0, 475.0, 223.0, 1696.0]
"Акционерное общество ""ЖИЛТРАНС"""=150030, г. Ярославль, Московский пр-кт, д. 74, кв. 409=162470.0=['nan', 'nan', 'nan', 31191.0, 27503.0]=[30, 133, 98, 101]=[12267.0, 9454.0, 5257.0, 6190.0, 6092.0]
"Акционерное общество ""Заречье"""=420127, Татарстан респ, Казань г, Дементьева ул, дом № 2, корпус В, офис А111=98207.0=['nan', 'nan', 'nan', 'nan', 'nan']=[96, 97, -537, 95]=[-1013.0, -24601.0, -37332.0, 232.0, -18508.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗОНАЛЬНОЕ"""=694404, Сахалинская обл, р-н Тымовский, с Зональное=23187.0=['nan', 'nan', 'nan', 'nan', 59604.0]=[85, 68, 80, 32]=[-1856.0, -12698.0, -5773.0, -9219.0, -2748.0]
"Акционерное общество ""Импульс"""=643,692150,25,Тернейский р-н,,Терней пгт,Ивановская ул,100,,=41504.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-168, -223, -416, -139]=[-1573.0, 2323.0, 1283.0, 498.0, 4027.0]
"Акционерное общество ""ИНВЕСТСТРОЙГАРАНТ"""=115230, Москва г, проезд Хлебозаводский, д. 7, к. 9, пом. Х, комн. 36, офис 2=126884.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-26, 537, 19, -51]=[2421.0, 3266.0, 380.0, 2037.0, 4894.0]
"Акционерное общество ""ИнжСпецСтройМонтаж"""=111524, Москва г, ул Электродная, д. 12, стр. 1, этаж 2 Пом 7 Раб 5=0.0=['nan', 11452.0, 2563.0, 'nan', 9891.0]=[-100, -77, -86, -94]=[22.0, 4940.0, 94.0, 156.0, 361.0]
"Акционерное общество ""ИННОВАЦИОННОЕ УПРАВЛЕНИЕ СТРОИТЕЛЬСТВОМ"""=105077, Москва г, Первомайская ул, дом № 89, этаж 0, помещение I, комната 12=67865.0=['nan', 'nan', 'nan', 'nan', 19190.0]=[-56, -100, -100, 100]=[4.0, 9.0, 1513.0, 34868.0, -4418.0]
"Акционерное общество ""ИНЭФКОР"""="140055, Московская обл, Городской округ Котельники, Белая дача мкр., Около ДК ""Белая Дача"""=79957.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-2952, -1052, -507, -374]=[-27131.0, -889.0, 2851.0, 6660.0, 9897.0]
"АО ""КалининградАгрострой"""=236023, Калининградская обл, Калининград г, Лейтенанта Яналова ул, дом № 42=14316.0=['nan', 'nan', 'nan', 'nan', 'nan']=[1819, 189, 227, -45]=[403.0, 21.0, -451.0, -318.0, 738.0]
"Акционерное общество ""КАПИТАЛЬНОЕ СТРОИТЕЛЬСТВО И РЕКОНСТРУКЦИЯ"""=125315, Москва г, вн.тер.г. муниципальный округ Аэропорт, пр-кт Ленинградский, д. 66, помещ. 1Н=249511.0=[8672.0, 33661.0, 'nan', 'nan', 'nan']=[-1076, -45373, -489, -1035]=[-19920.0, 2042.0, 44.0, 5121.0, 2130.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КЕДР"""=646800, Омская обл, р-н Таврический, рп Таврическое, ул Титова, 42=24232.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-80, -57, -62, -83]=[299.0, 1493.0, 694.0, 778.0, 1744.0]
"АО""КЕНИГ-ХОЛЬЦ"""=238560, Калининградская обл, р-н Светлогорский, г Светлогорск, ул Железнодорожная, 1-а=52083.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-62, 166, -38, -62]=[3369.0, 8889.0, 1268.0, 5464.0, 8755.0]
"Акционерное общество ""Кировский домостроительный комбинат"""=249442, Калужская обл, Кировский р-н, Киров г, Строительная ул, дом № 7=550004.0=[85980.0, 60022.0, 60215.0, 21309.0, 'nan']=[329, 116, 821, 1196]=[3796.0, 885.0, 1759.0, 412.0, 293.0]
"Акционерное общество ""КОМПАНИЯ ""СВЯЗЬ И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ"""=129164, Москва г, Ярославская ул, дом 8, корпус 3, помещение I, комната 31=9594.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-80, -90, -95, -96]=[127.0, 628.0, 1305.0, 2587.0, 3425.0]
"Акционерное общество ""КОМПАНИЯ СПЕЦСТРОЙРЕКОНСТРУКЦИЯ"""=117342, Москва г, Бутлерова ул, д. № 17, этаж 5 ком. 228=8314.0=[1229.0, 42194.0, 'nan', 'nan', 'nan']=[-269, -101, -148, 'nan']=[-588.0, 347.0, 52915.0, 1219.0]
"АО""КСР"""=150000, Ярославская обл, г Ярославль, ул Чайковского, 40А, 105=0.0=['nan', 'nan', 'nan', 'nan', 'nan']=[94, 85, -549, 97]=[-646.0, -10161.0, -4440.0, 144.0, -19665.0]
"Акционерное общество ""Консалтингстройинвест"""=г. Томск, ул. Пушкина, д. 63Г, 634006=1766557.0=[146081.0, 70658.0, 119093.0, 124056.0, 102924.0]=[38, -19, -36, 117]=[43596.0, 31648.0, 54110.0, 68586.0, 20101.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНТИ"""=117630, Москва г, ул Академика Челомея, 3, 2, Этаж 2=1534289.0=[44137.0, 38163.0, 42001.0, 3803.0, 73791.0]=[233, 43520, -24, -85]=[2181.0, 655.0, 5.0, 2863.0, 14561.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ""ЦЭМ"""=390000, Рязанская обл, г Рязань, км 197 километр (Окружная дорога), 6=47267.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-83, -95, -89, -93]=[150.0, 879.0, 3205.0, 1419.0, 2099.0]
"Акционерное общество ""Коттедж - Индустрия"""=396657, Воронежская обл., г. Россошь, ул. Промышленная, д. 17=375932.0=[71557.0, 42940.0, 9011.0, 'nan', 34882.0]=[43, 11, -49, -44]=[652.0, 455.0, 585.0, 1288.0, 1166.0]
"Акционерное общество ""КОШЕЛЕВ-ПРОЕКТ"""=443035, Самарская обл, г. Самара, ул. Мирная, дом 162=16936.0=['nan', 35301.0, 38161.0, 56264.0, 'nan']=[-1199750, -21146, -10811, -681]=[-23993.0, 2.0, 114.0, 224.0, 4130.0]
"АО "" ЖБИ №1"""=350090, Краснодарский край, г Краснодар, проезд им. Репина, 22, 54=1277064.0=[287507.0, 452989.0, 314153.0, 219018.0, 209404.0]=[54, 323, 1343, 1736]=[131975.0, 85581.0, 31177.0, 9143.0, 7187.0]
"Акционерное общество ""КРАСНОПОЛЯНСКАЯ ПТИЦЕФАБРИКА"""=141051, Московская обл, Мытищи Городской округ, Аббакумово д=83324.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-4442, 54, 89, -3321]=[-24532.0, 565.0, -53511.0, -225703.0, -717.0]
"Акционерное общество ""КРЫМСТРОЙ"""=295017, Республика Крым, г.о. Симферополь, г Симферополь, ул Фрунзе, дом 41=49610.0=['nan', 'nan', 'nan', 'nan', 'nan']=[18, -130, -125, -139]=[-900.0, -1102.0, 3007.0, 3568.0, 2326.0]
"Акционерное Общество ""Курортстрой"""=353460, Краснодарский край, г.о. город-курорт Геленджик, г. Геленджик, тер. Южная промышленная зона, д. 12=718195.0=['nan', 'nan', 'nan', 'nan', 'nan']=[1598, 4524, 1070, 7645]=[55532.0, 3270.0, 1201.0, -5725.0, 717.0]
"Акционерное общество ""МАВР-БЕЛГОРОД"""=309500, Белгородская обл, г. Старый Оскол, ст Котел Промузел, дом ПЛОЩАДКА ТРАНСПОРТНАЯ, корпус ПРОЕЗД Ш-4 СТРОЕНИЕ 29=140260.0=[37126.0, 54627.0, 40444.0, 'nan', 31145.0]=[-46, -36, 356, 88]=[5398.0, 9952.0, 8487.0, 1184.0, 2874.0]
"Акционерное общество ""Магнитострой"""=455025, Челябинская обл, г Магнитогорск, ул Гагарина, 50, 1=121737.0=['nan', 'nan', 265837.0, 'nan', -20516.0]=[503, -65, 650, 34262]=[5498.0, 912.0, 15652.0, 733.0, 16.0]
"Акционерное общество ""Махачкалинский домостроительный комбинат"""=367031, Дагестан Респ, г Махачкала, пр-кт Амет-Хана Султана, д. 89=46626.0=[26741.0, 43521.0, -1930.0, 'nan', 8482.0]=[72, 1462, -30, 1658]=[9545.0, 5541.0, 611.0, 13693.0, 543.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАШОПТТОРГ"""=394036, Воронежская обл, г.Воронеж, ул.Пушкинская, д.1, 518=1047281.0=[92288.0, 60192.0, 14774.0, 28069.0, 8492.0]=[14, 96, 404, 4590]=[21666.0, 18987.0, 11072.0, 4296.0, 462.0]
"Акционерное общество ""Межхозяйственная строительная организация ""Комсомольская"""=429140, Чувашская Республика - Чувашия, Комсомольский р-н, с.Комсомольское, ул.Мира, д.3Б=24395.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-73940, -20667, 68, -186]=[-3702.0, -5.0, 18.0, -11494.0, 4327.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕХЗАВОД"""=123104, Москва г, пер Палашёвский Б., 9СТР1=186438.0=['nan', 'nan', 'nan', 'nan', 'nan']=[75, 90, 98, 91]=[-5564.0, -22605.0, -56243.0, -223380.0, -61708.0]
"Акционерное общество ""МНЦЭС-КАПСТРОЙ"""=141280, Московская обл, г Пушкино, г. Ивантеевка, пр-д Фабричный, дом 1, корпус ПОЗИЦИЯ 40, ЛИТ/ЭТ/КОМ Б/1/34=246777.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-655, -212, -9235, -469]=[-58345.0, 10521.0, 52175.0, -625.0, -10247.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОГОЙТУЙСКАЯ МСО"""=687420, Забайкальский край, р-н Могойтуйский, пгт Могойтуй, ул Первомайская, 33=9396.0=['nan', 'nan', 'nan', 'nan', 'nan']=[2559, 142, 130, 113]=[904.0, 34.0, -2153.0, -2989.0, 425.0]
"Акционерное общество ""Можгинское строительное объединение"""=427791, Удмуртская Респ, Можга г, Устюжанина ул, дом № 5=316699.0=['nan', 'nan', 'nan', 'nan', 'nan']=[139, 303, 229, 4289]=[43057.0, 18023.0, 10687.0, -33261.0, 981.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОЗДОКСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №3"""=363750, Северная Осетия - Алания Респ, р-н Моздокский, г Моздок, ул Кирова, 130=89893.0=['nan', 'nan', 'nan', 'nan', 'nan']=[1024, 891, 17250, 1732]=[37822.0, 3366.0, 3817.0, 218.0, 2064.0]
"Акционерное общество ""Монолит"""=141006, Московская обл, г Мытищи, пр-кт Олимпийский, 48, Б, 31=45489.0=['nan', 'nan', 56942.0, 68468.0, 'nan']=[-43925, -802, -175, -14300]=[-50837.0, 116.0, -5636.0, -18468.0, 358.0]
"Акционерное общество ""МОНОЛИТСТРОЙ"""=191123, Санкт-Петербург г, Рылеева ул, дом 29=1076840.0=[80385.0, 93096.0, 39711.0, 41775.0, 'nan']=[287, 36, -1, 109]=[584.0, 151.0, 428.0, 587.0, 279.0]
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛСЕЛЬСТРОЙ-18"""=143600, Московская обл, г Волоколамск, пер Ново-Солдатский, 4=22694.0=['nan', 'nan', 'nan', 'nan', 'nan']=[-104, 100, 99, -105]=[-19.0, 440.0, -3856.0, -2196.0, 362.0]
